avgPlanall,SAT,RankDiffall,AvgPredAcc,PuzzAcc,RefTimeAcc,RefPuzzAcc
0.21,9,0.75,0.63,20,0.87,0.9
0.18,6,0.745,0.45,20,0.95,0.7
0.23,7,0.765,-6.18,18,-5.88,0.9
0.19,8,0.735,0.42,16,0.98,1
0.21,6,0.8425,0.62,19,0.92,0.85
0.24,7,0.7675,0.71,19,0.89,0.45
0.2,7,0.8225,0.72,15,0.88,0.95
0.18,10,0.775,0.65,16,0.95,0.9
0.24,7,0.8125,0.72,19,0.78,0.95
0.22,7,0.805,0.77,19,0.93,0.95
0.1,0,0.545,0.52,17,0.98,0.65
0.23,10,0.8075,0.62,18,0.48,0.7
0.15,7,0.7925,0.63,19,0.67,0.75
0.19,7,0.85,0.84,20,0.66,0.4
0.21,7,0.7875,0.65,20,0.75,0.8
0.21,7,0.8125,0.66,20,0.84,0.8
0.39,3,0.735,0.66,12,0.96,0.6
0.15,4,0.76,0.73,18,0.77,0.6
0.16,9,0.7175,0.7,11,0.6,0.85
0.22,8,0.8375,0.73,20,0.77,0.6
0.18,5,0.6825,-9.4,20,-8.5,0.1
0.17,8,0.7625,0.56,16,0.84,0.6
0.14,9,0.7575,0.67,17,0.93,0.95
0.18,8,0.7675,0.68,14,0.62,0.6
0.27,7,0.745,-2.18,17,-2.08,0.95
0.48,7,0.7175,-14.59,18,-13.89,0.8
0.37,8,0.7725,0.82,19,0.88,0.85
0.2,7,0.87,0.62,20,0.88,0.5
0.26,9,0.815,0.85,20,0.85,0.8
0.14,8,0.755,0.22,7,0.82,0.75
0.23,10,0.86,0.62,18,0.92,0.8
0.2,8,0.805,0.76,7,0.96,0.75
0.2,2,0.7,0.74,10,0.46,0.7
0.29,10,0.8375,0.72,17,0.88,0.85
0.24,10,0.8475,0.47,11,0.57,0.55
0.18,10,0.8525,0.6,13,0.9,0.95
0.17,8,0.7225,0.69,16,0.71,0.7
0.17,10,0.8125,0.64,16,0.74,1
0.16,9,0.825,0.7,11,0.9,0.85
0.19,6,0.7225,0.34,10,0.84,0.7
0.26,7,0.74,0.49,8,0.61,0.9
0.24,10,0.8725,0.7,19,1,0.95
0.15,5,0.695,0.53,15,0.93,0.65
0.27,8,0.7675,0.7,13,0.8,0.75
0.29,9,0.785,0.54,19,0.94,0.75
0.21,5,0.715,0.79,10,0.81,0.7
0.24,9,0.8,-6.71,15,-6.11,0.95
0.27,10,0.855,0.66,17,0.96,0.95
0.2,8,0.83,0.7,14,0.9,1
0.22,6,0.76,0.73,9,0.77,0.85
0.2,10,0.845,0.71,11,0.59,0.45
0.21,8,0.8,0.58,16,0.88,0.8
0.25,10,0.8175,0.83,16,0.77,0.6
0.16,9,0.795,0.62,10,0.98,0.8
0.26,10,0.8325,0.78,19,0.92,0.85
0.16,2,0.675,0.47,10,0.67,0.9
0.28,8,0.7725,0.57,11,0.93,0.95
0.13,7,0.7425,0.23,10,0.73,0.8
0.23,1,0.58,0.59,4,0.99,0.7
0.23,10,0.765,0.77,12,0.93,1
0.19,10,0.815,0.84,20,0.96,0.5
0.19,8,0.7075,0.61,1,0.69,0.65
0.14,9,0.845,0.7,13,0.8,0.75
0.16,10,0.8575,0.55,17,0.95,0.55
0.21,10,0.8025,0.74,19,0.76,0.85
0.22,1,0.635,0.85,8,0.85,0.4
0.15,10,0.8525,0.7,17,0.9,0.85
0.21,10,0.7775,0.71,19,0.99,0.85
0.21,9,0.855,0.7,15,0.5,0.45
0.2,4,0.63,0.68,4,0.82,0.7
0.3,0,0.65,-5.29,1,-4.49,0.85
0.25,10,0.8,0.7,18,1,0.9
0.19,10,0.835,0.8,20,0.8,0.6
0.16,3,0.68,0.57,15,0.97,0.85
0.18,10,0.8,0.69,15,0.71,0.75
0.3,7,0.8125,0.52,9,0.98,0.95
0.36,10,0.855,0.73,14,0.97,0.9
0.23,9,0.84,0.69,19,0.71,0.55
0.2,10,0.85,0.79,17,0.71,0.85
0.22,10,0.795,0.64,16,0.94,0.9
0.15,9,0.825,0.67,12,0.73,0.9
0.16,1,0.6875,-7.1,10,-6.8,0.8
0.18,8,0.7925,0.46,7,0.96,0.65
0.16,9,0.8,-7.32,14,-7.02,0.9
0.29,9,0.835,0.75,20,0.75,0.5
0.16,9,0.76,0.6,16,0.9,1
0.2,10,0.7175,0.67,17,0.93,1
0.26,10,0.79,0.8,12,0.9,1
0.12,2,0.6975,0.3,13,0.88,1
0.19,8,0.8165,0.66,19,0.94,1
0.2,9,0.81,0.62,17,0.78,1
0.21,10,0.8125,0.83,20,0.93,1
0.25,10,0.7875,0.75,17,0.85,1
0.2,3,0.7675,0.38,10,0.9,1
0.17,4,0.6125,-10.69,14,-9.99,1
0.22,10,0.79,0.71,20,0.87,1
0.22,10,0.7525,0.71,20,0.99,1
0.22,10,0.7925,0.62,19,0.82,1
0.23,10,0.76,0.5,16,0.9,1
0.29,10,0.785,0.65,18,0.91,1
0.22,10,0.7475,0.46,18,0.93,1
0.19,9,0.8,0.7,18,1,1
0.36,10,0.81,0.81,18,0.79,1
0.21,10,0.8025,0.72,17,0.92,1
0.24,10,0.7425,0.56,18,0.64,1
0.32,10,0.76,0.77,20,0.93,1
0.33,9,0.764,0.76,20,0.64,1
0.21,10,0.7725,0.77,18,0.53,1
0.18,10,0.7925,0.67,18,0.9,1
0.29,10,0.79,0.81,20,0.79,1
0.19,10,0.8,0.8,17,0.7,1
0.34,9,0.795,0.8,12,0.9,1
0.26,10,0.8075,0.73,19,0.93,1
0.22,10,0.78,0.76,19,0.84,1
0.2,10,0.7625,0.65,19,0.89,1
0.14,10,0.785,0.76,16,0.97,1
0.23,9,0.7125,0.38,13,0.92,1
0.16,9,0.811,0.75,20,0.95,1
0.31,10,0.7825,0.72,13,0.92,1
0.21,10,0.7625,0.36,11,0.79,1
0.26,10,0.7875,0.73,18,0.77,1
0.25,10,0.7625,0.69,17,0.91,1
0.25,10,0.78,0.76,16,0.96,1
0.26,10,0.76,0.68,15,0.92,1
0.14,10,0.8825,0.71,19,0.99,1
0.22,6,0.785,0.76,18,0.94,1
0.12,10,0.81,0.66,17,0.74,1
0.26,9,0.81,0.83,20,0.57,1
0.16,9,0.8405,0.7,9,0.7,0.85
0.15,10,0.8425,0.68,14,0.32,0.5
0.2,3,0.7175,0.65,8,0.95,0.9
0.18,10,0.825,0.69,20,0.91,0.7
0.21,6,0.7835,0.7,20,0.9,1
0.22,6,0.78,0.82,20,0.98,1
0.15,6,0.665,0.65,19,0.95,0.75
0.16,5,0.7575,0.6,19,0.9,0.65
0.21,8,0.7675,0.65,19,0.95,0.95
0.22,6,0.75,0.66,18,0.54,0.8
0.14,9,0.8175,0.12,13,0.72,0.85
0.19,7,0.7975,0.72,20,0.88,0.9
0.26,6,0.75,0.78,20,0.92,0.7
0.24,7,0.7625,0.8,18,0.9,0.8
0.18,8,0.6875,0.66,15,0.96,0.75
0.11,3,0.7025,0.74,11,0.96,0.95
0.19,6,0.8225,0.83,19,0.93,0.95
0.26,8,0.7915,0.78,16,0.82,1
0.23,7,0.77,0.74,18,0.76,0.7
0.25,7,0.815,0.78,19,0.92,0.75
0.16,8,0.6975,0.75,14,0.75,0.9
0.17,8,0.82,0.8,19,0.9,0.95
0.27,6,0.7475,0.72,20,0.88,0.8
0.28,7,0.815,0.86,20,0.74,0.5
0.19,6,0.785,0.73,19,0.77,0.95
0.32,6,0.77,0.77,18,0.83,0.9
0.23,9,0.7925,0.63,20,0.77,0.5
0.27,8,0.8425,0.85,20,0.95,0.9
0.14,6,0.8,0.67,18,0.93,0.8
0.4,7,0.79,0.69,19,0.91,0.95
0.33,6,0.7825,0.67,17,0.83,0.55
0.21,8,0.785,0.7,18,1,1
0.17,8,0.7775,0.73,14,0.93,0.7
0.28,8,0.83,0.76,20,0.96,0.6
