Participant,T1,R1,T2,R2,T3,R3,T4,R4,T5,R5,T6,R6,T7,R7,T8,R8,T9,R9,T10,R10,T11,R11,T12,R12,T13,R13,T14,R14,T15,R15,T16,R16,T17,R17,T18,R18,T19,R19,T20,R20,T21,R21,T22,R22,T23,R23,T24,R24,T25,R25,T26,R26,T27,R27,T28,R28,T29,R29,T30,R30,T31,R31,T32,R32,T33,R33,T34,R34,T35,R35,T36,R36,T37,R37,T38,R38,T39,R39,T40,R40,T41,R41,T42,R42,T43,R43,T44,R44,T45,R45,T46,R46,T47,R47,T48,R48,T49,R49,T50,R50,T51,R51,T52,R52,T53,R53,T54,R54,T55,R55,T56,R56,T57,R57,T58,R58,T59,R59,T60,R60,T61,R61,T62,R62,T63,R63,T64,R64,T65,R65,T66,R66,T67,R67,T68,R68,T69,R69,T70,R70,T71,R71,T72,R72,T73,R73,T74,R74,T75,R75,T76,R76,T77,R77,Gamma,Error,ni
Puzzle1a,0.511553432,1,0.556733215,0,0.599477785,1,0.460467965,0,0.484495173,1,0.490431811,1,0.524002135,1,0.487682001,1,0.429207566,1,0.170181054,1,0.573974639,1,0.607466288,1,0.435842045,1,0.471917185,1,0.767684712,1,0.539762747,1,0.511600405,1,0.79191815,1,0.562006754,1,0.629254004,0,0.637182424,1,0.631395355,1,0.532587546,1,0.593863197,1,0.522352212,1,0.397098321,1,0.411241349,1,0.546544915,1,0.605752627,1,0.524210663,1,0.350907831,1,0.446207417,1,0.604718208,1,0.760574731,1,0.524369797,1,0.574287271,1,0.562582784,1,0.54117196,1,0.52808106,1,0.49764887,1,0.637364018,1,0.446255001,1,0.707755193,1,0.423975795,1,0.504025845,1,0.325298911,1,0.426700228,1,0.645611356,1,0.629065054,1,0.492199067,1,0.453209783,1,0.524813939,1,0.719214995,1,0.588966849,1,0.395078959,1,0.590894426,1,0.423687525,1,0.545289807,1,0.328562259,1,0.559999766,1,0.495521133,1,0.679928313,1,0.589803709,1,0.270409306,1,0.493970124,1,0.507763627,1,0.70175292,1,0.469266561,1,0.669131318,0,0.518256672,1,0.599738104,1,0.596818411,1,0.408730342,1,0.788169702,0,0.541863193,1,0.537954595,1,0.773405862,1,0.6266667,0.241084,20
Puzzle1b,0.158949314,1,0.193099404,1,0.289135067,0,0.115347658,0,0.216771154,1,0.262781186,0,0.322030602,1,0.226075392,1,0.195644223,0,0.128072831,0,0.149486503,1,0.318881126,1,0.302647679,1,0.151856421,1,0.410990582,1,0.214712629,0,0.338765349,1,0.42367882,1,0.226155979,1,0.272671284,1,0.362891724,1,0.423642945,1,0.308736841,1,0.16504478,0,0.380513763,1,0.224806177,1,0.25241186,0,0.335670478,1,0.206410952,1,0.211927961,0,0.150799792,1,0.151525449,0,0.180848672,1,0.433118622,1,0.305321637,0,0.232375675,1,1,0,0.259569934,1,0.27242965,1,0.212243823,1,0.386740513,1,0.119070806,0,0.325882275,1,0.195790263,0,0.195698143,0,0.162580225,0,0.276758271,1,0.296830475,1,0.234708731,1,0.15111726,0,0.194468685,1,0.231950812,1,0.406367188,1,0.161396856,0,0.22728112,1,0.36867448,1,0.199643141,0,0.218005412,1,0.144215246,0,0.260164307,1,0.355651035,1,0.371560185,0,0.35336534,0,0.152312837,0,0.299716881,1,0.314138867,1,0.455675469,1,0.09856557,0,0.507801924,1,0.32924788,1,0.32409166,1,0.125364085,0,0.252204854,1,0.357127576,1,0.17033998,1,0.201974973,0,0.430301674,1,-0.254902,0.4339165,20
Puzzle2a,0.36805285,1,0.371407647,1,0.516319078,1,0.192126468,1,0.40099687,1,0.481263518,1,0.388997693,1,0.40069896,1,0.132205162,1,0.257351832,1,0.491220796,1,0.362804161,1,0.462967602,1,0.312349221,1,0.502937842,1,0.443956991,1,0.403798271,1,0.569372229,1,0.500372084,1,0.579973068,1,0.463411927,1,0.612374738,1,0.557790924,1,0.406837416,1,0.416001873,1,0.433360934,1,0.54026664,1,0.45312648,1,0.565648102,1,0.423423525,1,0.355225646,1,0.135848773,0,0.38552458,1,0.445556921,1,0.270394878,0,0.44814475,1,0.443349923,1,0.511790553,1,0.511308988,1,0.398317933,1,0.403543398,1,0.309342612,1,0.531773952,1,0.456710948,1,0.254224225,1,0.402056977,1,0.440354573,1,0.554706394,1,0.504953032,1,0.452406168,1,0.601811595,1,0.518464281,1,0.515639148,1,0.234809198,1,0.333815608,1,0.573304729,1,0.412990267,1,0.401422414,1,0.253961583,1,0.33158277,1,0.717968846,1,0.589054656,1,0.546899868,1,0.14009105,1,0.365624562,1,0.390681623,1,0.574509001,1,0.484034022,1,0.73969681,1,0.332675797,1,0.541449306,1,0.367676268,1,0.98489002,1,0.544135471,1,0.545467147,1,0.463447331,0,0.620980828,1,0.3541667,0.2649945,20
Puzzle2b,0.267913846,1,0.173073139,0,0.267915045,1,0.114443276,1,0.197743307,1,0.243320785,0,0.251683891,1,0.266912525,1,0.142755443,0,0.145861015,0,0.28045849,1,0.281335904,1,0.289591212,1,0.382968308,1,0.370020907,1,0.136213096,1,0.261955748,0,0.449462729,1,0.237934605,1,0.137899158,0,0.300910993,1,0.366449257,1,0.197989998,1,0.265004446,1,0.267452799,1,0.170911723,0,0.418400664,1,0.280850962,1,0.246401984,1,0.157168434,1,0.118230233,0,0.129983835,0,0.145231345,1,0.28698127,0,0.162678898,0,0.221500307,1,0.310574472,1,0.200547443,1,0.205402998,1,0.169115795,1,0.259177676,1,0.220873243,1,0.358713458,1,0.223025202,0,0.19141986,1,0.189088055,0,0.305322028,1,0.360143622,1,0.168642688,1,0.195706874,1,0.241977062,1,0.16500268,1,0.189774024,0,0.224531261,1,0.203898881,1,0.313076524,1,0.193249223,1,0.176922613,1,0.149063728,1,0.180112865,1,0.305705266,0,0.311158362,1,0.27200079,1,0.114486318,0,0.215147207,1,0.134456264,1,0.262175434,1,0.226136928,1,0.564911333,1,0.205517262,1,0.30771637,1,0.077076021,0,0.974402356,1,0.310245584,1,0.250703362,1,0.177442302,1,0.294209353,1,-0.07692308,0.29511802,20
Puzzle3a,0.357158664,1,0.356013799,1,0.516060175,1,0.452956731,1,0.332876885,1,0.340914952,1,0.374338214,1,0.373871002,1,0.149449527,1,0.25805079,1,0.404132919,1,0.501853436,1,0.480116522,1,0.540131326,1,0.467119203,1,0.474654153,1,0.48260306,1,0.611036684,1,0.545308316,1,0.546760701,1,0.453446477,1,0.602746376,1,0.595736942,1,0.334024449,1,0.492818883,1,0.399001561,1,0.654045563,1,0.460143717,1,0.326404999,1,0.309327055,1,0.188939996,1,0.516167222,1,0.247882921,1,0.704162138,1,0.184141744,0,0.540097998,1,0.398340746,1,0.360241359,1,0.579571306,1,0.301161845,1,0.428221373,1,0.287142791,1,0.575528246,1,0.290457459,1,0.375054049,1,1,0,0.36673999,1,0.557148244,1,0.551573867,1,0.3026285,1,0.552802065,1,0.499313923,1,0.554494845,1,0.316849031,1,0.517078911,1,0.415299954,1,0.623582217,1,0.482598113,1,0.330421904,1,0.524419821,1,0.574550842,1,0.625712418,1,0.517106877,1,0.379246093,1,0.541306725,1,0.913854018,1,0.583986352,1,0.515505384,1,0.575737524,1,0.577061092,1,0.637868067,1,0.365589353,1,0.948953453,1,0.609788772,1,0.384025942,1,0.344018134,1,0.539521442,1,0.7894737,0.1408118,20
Puzzle3b,0.147798764,0,0.193087112,1,0.298023659,0,0.223737575,1,0.099877601,1,0.211497682,1,0.271870388,1,0.179306643,0,0.171081987,0,0.240931669,0,0.209955518,1,0.234844888,1,0.151293431,0,0.176344749,1,0.221227076,1,0.223784441,1,0.145701738,1,0.39331346,1,0.244461773,1,0.264188513,1,0.36233527,1,0.22533437,1,0.276456515,1,0.124946862,1,0.313681588,1,0.190787008,1,0.371301664,0,0.18374668,1,0.180064124,1,0.195426337,1,0.112465984,0,0.178116396,1,0.125636703,1,0.351811564,1,0.18912495,0,0.233084759,1,0.24471638,0,0.23039997,1,0.306168502,1,0.171325386,1,0.197868743,1,0.09033876,0,0.37295423,1,0.165494563,1,0.237821458,1,1,0,0.161501724,1,0.190720475,1,0.288016371,1,0.124765603,1,0.20731872,1,0.257753944,1,0.298443158,1,0.104884556,0,0.227358537,1,0.278548507,1,0.26842595,1,0.224330924,1,0.101944833,0,0.265262084,1,0.294306143,1,0.296552277,1,0.265466769,1,0.262588979,0,0.240259086,1,0.825949618,1,0.388311211,1,0.212251781,1,0.23158243,1,0.360014944,1,0.428363435,1,0.181406613,1,0.89128808,1,0.42655257,0,0.268426186,1,0.168855153,1,0.302210774,1,0.53125,0.2246688,20
Puzzle4a,0.180208367,1,0.298661583,1,0.533850519,1,0.321959453,1,0.72259642,1,0.431309895,1,0.417436029,1,0.442102566,1,0.248340143,1,0.073538997,1,0.500079085,1,0.419969127,1,0.309507801,1,0.495678239,1,0.722297311,1,0.530188848,1,0.4681832,1,0.57173587,1,0.446820971,1,0.502946992,1,0.583074209,1,0.697367036,1,0.444065236,1,0.424828379,1,0.641010772,1,0.336498053,1,0.586715008,0,0.490270658,1,0.61622362,1,0.405220423,1,0.373343528,1,0.463455002,1,0.437151043,1,0.559338845,1,0.191156514,0,0.589158628,1,0.448854855,1,0.53266523,1,0.489503528,1,0.378096088,1,0.527448712,1,0.403907344,1,0.67113356,1,0.356599174,1,0.367703078,1,1,0,0.358706324,1,0.475127451,1,0.616068148,1,0.375889622,1,0.69091668,1,0.47087412,1,0.635391209,1,0.190724094,1,0.527526076,1,0.497532217,1,0.680411071,1,0.531337662,1,0.339553215,1,0.495575662,1,0.552828739,1,0.60643096,1,0.485329353,1,0.648749009,1,0.481827111,1,0.559360064,1,0.800272512,1,0.549130129,1,0.649032555,1,0.531032011,1,0.55583825,1,0.535447003,1,0.934459414,1,0.636085101,1,0.851838859,0,0.60699692,1,0.605250191,1,0.4509804,0.4096815,20
Puzzle4b,0.137415765,1,0.148967775,1,0.262520955,1,0.068559971,1,0.478320113,1,0.189445308,1,0.268564426,1,0.265592343,1,0.11631268,0,0.06457833,0,0.329163497,1,0.237602092,1,0.158636245,1,0.276829807,1,0.320171055,0,0.288814357,1,0.276264484,1,0.398663743,1,0.200594595,0,0.212266307,1,0.338162533,1,0.454288642,1,0.164034352,1,0.173691973,1,0.322121519,1,0.204968886,1,0.30435129,1,0.219459485,1,0.326780668,1,0.230767965,1,0.099184557,1,0.286769664,1,0.169971441,1,0.349292389,0,0.200240892,1,0.292888207,0,0.220366675,1,0.307438086,1,0.248053317,1,0.155995235,1,0.151960623,0,0.131613096,1,0.26229161,1,0.130977127,0,0.184111541,0,0.076219507,0,0.242630732,1,0.260447469,1,0.308882112,1,0.163014519,1,0.212172699,1,0.245055751,1,0.185828801,0,0.144717977,0,0.248737682,1,0.323140479,1,0.322904719,0,0.157691331,1,0.123985809,0,0.221392484,1,0.21032197,1,0.366307038,1,0.20223563,1,0.261463971,1,0.186539215,0,0.255139081,1,0.585210737,1,0.235669048,1,0.363191344,0,0.289628183,1,0.238481376,1,0.137014213,1,0.74289502,1,0.372829799,1,0.321910965,1,0.233898046,1,0.347796202,1,0.28,0.2704071,20
Puzzle5a,0.475105684,1,0.621529377,1,0.549506031,0,0.398406539,1,0.347132031,1,0.422684222,1,0.48999135,1,0.509413477,1,0.530120405,1,0.270624773,1,0.558723381,1,0.539177567,1,0.508352537,1,0.467315946,1,0.512888761,1,0.511302013,1,0.473738558,1,0.687516076,1,0.42226882,1,0.68537464,1,0.570716227,1,0.642129662,1,0.514098533,1,0.547287933,1,0.578218964,1,0.454398018,1,0.658065674,1,0.567044774,1,0.584304967,1,0.382012732,1,0.35508295,1,0.810731013,1,0.403616698,1,0.642239056,1,0.386915124,1,0.537950989,1,0.498438568,1,0.462948033,1,0.56413879,1,0.451453837,1,0.530491239,1,0.406767089,1,0.580340895,1,0.359152971,1,0.412827757,1,0.240565209,1,0.367283198,1,0.537720528,1,0.511568611,1,0.367541722,1,0.450122565,1,0.637550574,1,0.460495334,1,0.525543054,1,0.507031711,1,0.558153881,1,0.677727915,1,0.61129581,0,0.439724691,1,0.426208656,1,0.636136754,1,0.540350684,1,0.543331084,1,0.356902523,1,0.462324673,1,0.486614792,1,0.523772027,1,0.668252227,1,0.44808995,1,0.767016237,1,0.523310091,1,0.597201577,1,0.528931146,1,0.821169021,1,0.456556816,1,0.538968804,1,0.61653549,1,-0.01098901,0.27357566,20
Puzzle5b,0.248439468,1,0.319071052,1,0.282190475,0,0.147270239,1,0.149339701,1,0.251759589,1,0.261973355,1,0.284323568,1,0.299355908,0,0.097814029,1,0.263376252,1,0.166236296,1,0.242278101,1,0.284687988,1,0.283590116,1,0.280800286,1,0.1371152,1,0.477259459,1,0.193888967,1,0.333961696,1,0.357031263,1,0.408319646,1,0.195666409,1,0.191213197,0,0.359814742,1,0.228160262,1,0.351014097,0,0.375896892,1,0.282335859,1,0.212754439,1,0.167424861,1,0.510430955,0,0.177596723,1,0.292650781,0,1,0,0.211466753,1,0.284510835,1,0.22980545,0,0.3611388,1,0.156616027,1,0.338705001,1,0.188979889,1,0.23956351,1,0.14469836,0,0.146626985,0,0.160300504,0,0.107799276,1,0.200911474,1,0.27980066,1,0.161610186,1,0.112875922,1,0.322631448,1,0.195777539,1,0.228414613,1,0.206946891,1,0.34855522,1,0.287011522,1,0.209437871,0,0.11368297,0,0.187697138,0,0.29167417,1,0.204732152,1,0.3611309,1,0.147491366,0,0.232231396,1,0.193587759,1,0.223586244,1,0.296962152,1,0.262876531,1,0.487232601,1,0.306479306,1,0.133279443,1,0.228411966,1,0.6150044,1,0.179620531,1,0.126713669,0,0.292154451,1,1,0,20
Puzzle6a,0.417461422,1,0.429413097,1,0.561439429,1,0.428277771,0,0.316228453,1,0.42448919,1,0.599403537,1,0.525447833,0,0.240846986,0,0.18068333,1,0.559530177,1,0.541659474,1,0.612882062,1,0.551171939,0,0.613551124,1,0.370751107,1,0.588981696,1,0.684955782,1,0.4243365,1,0.473771376,1,0.565134898,1,0.689750507,1,0.43893279,1,0.358667963,1,0.629064156,1,0.365129471,1,0.551699359,1,0.599953805,1,0.526328672,1,0.502137816,1,0.330525736,1,0.561974075,1,0.323064745,1,0.68596711,0,0.502604819,1,0.653378357,1,0.436058274,1,0.537016985,1,0.509484543,1,0.214820519,1,0.566456517,1,0.376060371,1,0.572105333,1,0.288439715,1,0.492299786,1,0.289379978,1,0.422353973,1,0.52452463,1,0.484185394,1,0.538741565,1,0.480514136,1,0.528702715,1,0.653825348,1,0.434657803,1,0.444671239,1,0.437026505,1,0.769016706,1,0.534718322,1,0.171031156,1,0.52892506,1,0.676233386,1,0.492499748,1,0.642837735,1,0.30898686,1,0.390854678,1,0.557936554,1,0.456696497,1,0.638189672,1,0.743387111,1,0.328221578,1,0.633603163,1,0.385736171,1,0.478626395,1,0.530874143,1,0.432802539,1,0.346361265,1,0.618380746,1,-0.09375,0.335392,20
Puzzle6b,0.195743603,1,0.174608772,1,0.297729255,0,0.123650275,1,0.188835451,1,0.264633769,1,0.243025598,1,0.327227037,1,0.097769964,1,0.063419804,1,0.26627153,1,0.266869501,1,0.277342388,1,0.197583822,1,0.293903035,1,0.183425598,1,0.117035476,0,0.445597695,1,0.243630054,0,0.238667822,1,0.401497946,1,0.332499222,1,0.213199741,0,0.182880289,1,0.450538248,1,0.224144649,1,0.27545423,0,0.370975764,1,0.257597324,1,0.272490683,1,0.211170744,1,0.359306999,0,0.123539372,1,0.448987366,1,0.245885775,1,0.365288445,1,0.240286325,1,0.380205199,1,0.289898754,1,0.157811076,1,0.251208093,1,0.142308758,1,0.273517915,1,0.258923496,1,0.187705021,1,0.162817862,1,0.297592231,1,0.313215054,1,0.313227358,1,0.288475458,1,0.201732853,1,0.300149056,1,0.284388078,1,0.168583318,1,0.220548929,1,0.264114505,1,0.44755076,1,0.20357559,1,0.134633153,0,0.353151416,1,0.451392419,1,0.296411299,0,0.43745747,1,0.246617907,1,0.205666384,1,0.208635187,1,0.25249066,1,0.270532166,1,0.530823274,1,0.156844567,1,0.369162834,1,0.177187217,1,0.230416274,1,0.279308281,1,0.214166422,1,0.110280448,1,0.317513574,1,0.7222222,0.1766554,20
