Participant,T1,R1,T2,R2,T3,R3,T4,R4,T5,R5,T6,R6,T7,R7,T8,R8,T9,R9,T10,R10,T11,R11,T12,R12,T13,R13,T14,R14,T15,R15,T16,R16,T17,R17,T18,R18,T19,R19,T20,R20,T21,R21,T22,R22,T23,R23,T24,R24,T25,R25,T26,R26,T27,R27,T28,R28,T29,R29,T30,R30,T31,R31,T32,R32,T33,R33,T34,R34,T35,R35,T36,R36,T37,R37,T38,R38,T39,R39,T40,R40,T41,R41,T42,R42,T43,R43,T44,R44,T45,R45,T46,R46,T47,R47,T48,R48,T49,R49,T50,R50,T51,R51,T52,R52,T53,R53,T54,R54,T55,R55,T56,R56,T57,R57,T58,R58,T59,R59,T60,R60,T61,R61,T62,R62,T63,R63,T64,R64,T65,R65,T66,R66,T67,R67,T68,R68,T69,R69,T70,R70,T71,R71,T72,R72,T73,R73,T74,R74,T75,R75,T76,R76,T77,R77,Gamma,Error,ni
Puzzle7a,0.546691863,1,0.611014895,0,0.476059713,1,0.284303269,1,0.387621438,1,0.504049513,1,0.543233299,1,0.540007715,1,0.591725092,1,0.214126999,1,0.375626276,1,0.52245119,1,0.476614556,1,0.560888528,1,0.592663723,1,0.49374678,1,0.515878454,1,0.590771178,1,0.513015296,1,0.468494777,1,0.718457469,1,0.715916793,1,0.384631096,1,0.444778227,1,0.569211141,1,0.466806888,1,0.689430018,1,0.716997579,1,0.44687228,1,0.518000722,1,0.315860819,1,0.497636795,1,0.450429346,1,0.67244031,1,0.384179717,1,0.633854298,1,0.501566892,1,0.587417394,1,0.599319327,1,0.130120013,1,0.298008367,1,0.135455952,0,0.359079979,1,0.320242702,1,0.292052675,1,0.148123506,0,0.211954919,1,0.330765457,1,0.29767765,1,0.195131664,1,0.157813487,1,0.33297482,1,0.241428011,1,0.220470383,0,0.372298616,1,0.418171699,1,0.382889446,1,0.146849973,1,0.147272781,1,0.287957052,1,0.443431593,1,0.26656626,1,0.387172424,1,0.185012488,1,0.229087769,1,0.273670337,1,0.302452367,1,0.298750251,1,0.422907956,1,0.35626664,1,0.461325579,1,0.326590086,1,0.187910278,1,0.411058016,1,0.44332606,0,0.164775644,1,0.452271039,1,0.01960784,0.41298039,20
Puzzle7b,0.157812499,0,0.336655493,1,0.226675862,1,0.093428869,0,0.208690326,1,0.275638267,1,0.152528219,1,0.248435451,0,0.219617172,0,0.067157914,1,0.203892619,1,0.208551938,1,0.300740627,1,0.227545719,0,0.254123725,1,0.227121984,1,0.164248849,1,0.440936292,1,0.14545082,1,0.295112698,1,0.505576398,1,0.322294887,1,0.302063892,1,0.181114598,1,0.332926088,1,0.238562323,1,0.404288297,0,0.463761025,1,0.184761332,0,0.204432911,1,0.236293151,1,0.225057945,1,0.163842356,1,0.293573665,0,0.177561937,1,0.310057131,1,0.237170665,1,0.296299372,0,0.331879808,1,0.131424018,1,0.283074185,1,0.210905214,1,0.349195366,1,0.227184528,0,0.174908096,0,0.142809225,0,0.297585019,1,0.344675619,1,0.287641379,1,0.200998584,1,0.140521393,1,0.2410269,1,0.296000819,1,0.256265045,1,0.263403699,1,0.382202423,1,0.393074117,1,0.246694537,0,0.133947849,0,0.310431871,1,0.447819208,1,0.278462275,1,0.236161335,1,0.191019873,1,0.160671383,1,0.29105591,1,0.298718824,1,0.324945118,1,0.38659038,1,0.2743322,1,0.407379777,1,0.222206013,1,0.161002004,1,0.398827653,1,0.285695541,1,0.136852678,1,0.352112434,1,0.6862745,0.1704956,20
Puzzle8a,0.390419822,1,0.532011053,1,0.519151568,1,0.286291781,0,0.453128138,1,0.414688219,1,0.446958782,1,0.445656701,1,0.51070792,1,1,0,0.413896278,1,0.51618122,1,0.583775781,1,0.611892644,1,0.641105332,1,0.591525138,1,0.433729074,1,0.664814481,1,0.471028286,1,0.474443224,1,0.557837973,1,0.697112108,1,0.445741168,1,0.385611951,1,0.525912012,1,0.373342272,1,0.583105645,1,0.597186873,1,0.429665285,1,0.385074354,1,0.366928665,1,0.512800458,1,0.43037678,1,0.635778781,1,0.492267091,1,0.609227635,1,0.401297853,1,0.607547249,1,0.504980275,1,0.153770781,1,0.303786995,1,0.12767821,1,0.33547115,1,0.209137252,0,0.321364015,1,0.140825458,0,0.281223086,1,0.309754223,1,0.267918025,1,0.196436261,1,0.189333342,1,0.349780589,1,0.343169862,1,0.177206044,1,0.318481293,1,0.351983222,1,0.392458063,1,0.227036947,0,0.245466692,1,0.28137144,1,0.491065393,1,0.273065198,1,0.426055954,1,0.22149227,1,0.194073511,1,0.200963352,1,0.332308874,1,0.27785741,1,0.430247815,1,0.251692263,1,0.317429601,1,0.197271546,1,0.509132538,1,0.383003974,0,0.267202699,1,0.189366076,1,0.351140494,1,0,0.2605787,20
Puzzle8b,0.170507357,0,0.170826572,1,0.302402932,0,0.070994616,0,0.185641327,0,0.216655108,0,0.213920026,1,0.306443676,1,0.158992059,0,0.21505669,0,0.188446634,1,0.184503396,1,0.29677579,1,0.285226359,0,0.25151297,0,0.307752954,0,0.115292269,1,0.455575719,0,0.185630951,0,0.242267814,1,0.263477314,1,0.457011001,1,0.245498387,0,0.18303446,0,0.271276425,1,0.220723928,0,0.309287174,0,0.301390758,0,0.245992244,1,0.168534244,0,0.171847755,0,0.265073459,0,0.178415653,1,0.366998585,0,0.235863278,0,0.335645265,0,0.192649937,0,0.287319494,0,0.291445536,0,0.161191732,1,0.285597203,1,0.11819571,1,0.259785071,1,0.22283148,0,0.181771439,0,0.122522385,1,0.226613719,1,0.29781478,1,0.318791331,1,0.17781932,1,0.177030317,1,0.377256841,1,0.288280177,1,0.150435819,1,0.314950609,1,0.302558877,1,0.436139917,1,0.202625387,1,0.141812504,0,0.235886104,1,0.34799611,1,0.26553509,1,0.341397792,1,0.257597154,1,0.221817942,1,0.186820566,1,0.346629034,1,0.233609599,1,0.382722231,1,0.185407954,1,0.383308076,1,0.210574133,1,0.515792178,1,0.35324355,1,0.213874034,1,0.145506761,1,0.279047921,1,0.6862745,0.1792889,20
Puzzle9a,0.470555593,1,0.559483512,1,0.390929828,1,0.480407469,1,0.349497731,1,0.415272583,1,0.408888283,1,0.689837524,1,0.800498963,1,0.451258404,1,0.531333408,1,0.524030532,1,0.530208716,1,0.563865306,0,0.610905781,1,0.585763208,0,0.488366533,1,0.544776297,1,0.42222345,1,0.591396923,1,0.62208251,1,0.703094357,1,0.548596157,1,0.41776997,1,0.522710494,1,0.520919243,1,0.729438102,1,0.497132082,1,0.537942114,1,0.459851589,1,0.291842786,1,0.47755557,1,0.381358192,1,0.651241451,1,0.489962293,1,0.680370392,1,0.462298364,1,0.504096758,1,0.473816627,0,0.127009053,1,0.297633929,1,0.138050725,1,0.395427919,1,0.170628098,0,0.221694502,1,0.084876497,0,0.292985059,1,0.218105047,1,0.228687071,1,0.191955085,1,0.146915743,1,0.194403984,1,0.276570065,1,0.139105803,0,0.326929713,1,0.454450849,1,0.243167769,1,0.216049828,1,0.153924239,1,0.18044335,1,0.310515924,1,0.23737271,1,0.354863885,1,0.227466107,0,0.215460251,1,0.487289949,1,0.323592196,1,0.200288933,1,0.320297173,1,0.188987431,1,0.29337477,1,0.275422398,1,0.159471393,1,0.443554396,1,0.241442897,1,0.200161138,0,0.351756841,1,0.05555556,0.67000195,20
Puzzle9b,0.40971266,0,0.57783335,1,0.387637286,0,0.470503702,0,0.467092541,1,0.410902191,0,0.535358148,1,0.703365922,1,0.824539844,0,0.442813364,0,0.595346128,1,0.529183053,1,0.5017092,1,0.620211351,1,0.610271139,1,0.536728177,1,0.479087325,1,0.569903339,0,0.466396146,1,0.60223751,1,0.65272778,1,0.715358986,1,0.585120116,1,0.49555657,1,0.578817295,1,0.516801304,1,0.724066451,1,0.505839622,1,0.53283373,1,0.478763193,1,0.326097181,0,0.502961787,0,0.39324701,1,0.705121727,1,0.493116257,1,0.712815615,1,0.491383262,1,0.505016784,1,0.499925532,0,0.122060178,1,0.29207644,1,0.12948664,1,0.377603995,1,0.220979079,0,0.210827467,0,0.115089019,1,0.272117821,1,0.220469222,1,0.21828824,1,0.175561439,1,0.152572185,0,0.199440775,1,0.297809919,1,0.144544933,0,0.345760321,1,0.456082823,1,0.247985496,1,0.25268577,1,0.171796636,0,0.189545544,1,0.32426808,0,0.279511083,1,0.383728932,1,0.225192162,0,0.222417986,1,0.517416055,1,0.347779683,1,0.215614845,1,0.390716951,1,0.260584723,1,0.346403072,1,0.299523983,1,0.146462721,1,0.508486506,1,0.206913419,1,0.200433481,1,0.422638299,1,0.6666667,0.1756821,20
Puzzle10a,0.333686371,1,0.494262511,1,0.508259484,1,0.298656292,1,0.418391528,1,0.355064411,1,0.40225224,1,0.636369313,1,0.534930415,1,0.869717496,1,0.581277361,1,0.516587274,1,0.395730608,1,0.525710062,1,0.65238031,1,0.45399754,1,0.489925339,1,0.564628851,1,0.466394848,1,0.421123391,1,0.64352985,1,0.47746501,1,0.477649143,1,0.476901912,1,0.484012415,1,0.364645198,1,0.791857997,1,0.323368315,1,0.418985299,1,0.556152647,1,0.309600446,1,0.559016413,1,0.425262099,1,0.372620279,1,0.352142693,1,0.512541108,1,0.417085256,1,0.661452497,1,0.482018634,0,0.164330541,1,0.278492101,1,0.181232432,1,0.380240078,1,0.164891379,0,0.237930919,1,0.127624456,1,0.210044529,1,0.22372547,1,0.313901217,1,0.191715396,1,0.191896005,1,0.40611849,1,0.463574499,1,0.142982821,1,0.154768801,1,0.373329957,1,0.274627472,1,0.294549106,0,0.074126592,1,0.223211344,1,0.308078606,0,0.237982048,1,0.368259476,1,0.231456383,1,0.242153465,1,0.346636609,1,0.28245593,1,0.29724666,1,0.349038621,1,0.270860187,1,0.239011336,1,0.216811754,1,0.692970329,0,0.391010326,1,0.176997484,1,0.820788193,0,0.328872375,1,0.6470588,0.1849189,20
Puzzle10b,0.095399602,0,0.200626869,1,0.345535579,0,0.085959152,1,0.191858486,1,0.272413691,1,0.206144058,1,0.443728525,1,0.297576912,0,0.736431963,1,0.308976935,1,0.271993036,1,0.256985383,1,0.287512533,1,0.50928474,1,0.275922529,1,0.158824745,0,0.344135007,1,0.235217522,1,0.262679867,1,0.438716419,1,0.413887665,1,0.265598525,1,0.272987759,1,0.376541538,1,0.149200443,0,0.651374173,0,0.264736773,1,0.214284063,1,0.318120791,1,0.142479677,1,0.290834437,1,0.282506389,1,0.311527182,0,0.21650105,0,0.285902129,1,0.200747455,1,0.418854838,0,0.323685766,0,0.19550135,0,0.303940245,0,0.147291787,1,0.401804897,1,0.526253128,0,0.163398244,1,0.130332005,0,0.205380121,1,0.239167451,1,0.283908285,1,0.113043112,1,0.184266943,1,0.241060526,0,0.308698587,1,0.147612836,0,0.202638317,1,0.39332193,1,0.287619738,1,0.292000973,1,0.07313265,0,0.191599483,1,0.272559452,0,0.262579087,1,0.414148403,1,0.176781107,1,0.207350007,1,0.345015329,1,0.334173499,1,0.175940871,1,0.340886965,1,0.249543666,1,0.244203176,1,0.171830371,1,0.185709381,1,0.469628406,1,0.159517179,1,0.643092097,0,0.292990445,1,0.92156863,0.08255226,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666667,0.1847796,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5789474,0.1870575,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8947368,0.1024556,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7777778,0.1481481,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.265165,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5164835,0.2280069,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7582418,0.2054758,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5151515,0.2387229,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3888889,0.213566,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1764706,0.4976822,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59375,0.1956248,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1733333,0.241084,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2631579,0.2213295,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4444444,0.4099249,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8039216,0.1477556,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6767677,0.2102203,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7857143,0.1402829,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0416667,0.27415168,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7894737,0.1408118,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6842105,0.1673094,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4736842,0.2020452,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7802198,0.1424711,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5555556,0.274674,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2266667,0.2663109,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7575758,0.1701162,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7894737,0.1408118,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65625,0.1772938,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1666667,0.2421611,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4736842,0.2020452,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.2296107,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8947368,0.1024556,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1666667,0.4547418,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3684211,0.2132784,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1372549,0.3511853,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8333333,0.14698618,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3095238,0.2894223,20
