ID,Guessed,Random,GTD,feedback,smaller,red_white,bothsrw,atleastrsw,bothgf,atleastgf,best,none,GTD2, feedback2,smaller2,red_white2,atleastgf2,atleastsrw2,StratNo,PuzzAcc,SAT,RankAcc,PAAcc,RankPA,CJTime,CJPuzz,RefTimeAcc,RefPuzzAcc,RankTime,PAPercent,GuessedTime,GuessedPuzzle
1,N,N,N,Y,N,N,N,N,M,Y,N,N,N,N,Y,N,N,Y,1,16,9,4.8,0.397624332,0.132,6,,0.097595091,,0.514,0.6,0.050737325,0.25
2,N,N,N,N,Y,Y,H,Y,N,N,Y,N,N,N,N,N,N,N,2,17,10,5.65,0.325491838,0.343,6,,0.074508162,,0.698,0.67,0.098594093,0.35
3,N,N,N,Y,N,N,N,N,M,Y,Y,N,N,N,N,N,N,N,1,12,10,4.2,0.198019941,0.895,9,,0.098019941,,0.5,0.8,0.228262786,0.5
4,N,N,N,N,N,Y,M,Y,N,N,N,N,N,N,N,N,N,N,1,13,2,6.05,0.70059212,0.027,3,,0.123764981,,0.369,0.3,0.165999026,0.45
5,N,N,N,Y,N,N,N,N,M,Y,N,N,N,Y,Y,N,Y,Y,1,19,8,3.666666667,0.336472492,0.277,6,,0.063527508,,0.79,0.66,,
6,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,4,17,9,3.8,0.376037195,0.158,9,,0.221809789,,0.224,0.62,,
7,N,N,Y,Y,N,Y,M,Y,H,Y,N,N,N,N,N,N,N,N,4,20,10,3.75,0.167977661,0.961,9,,0.067977661,,0.737,0.83,,
8,N,N,Y,Y,Y,N,M,Y,H,Y,Y,N,N,N,N,N,N,N,4,17,10,4.25,0.247840806,0.672,6,,0.152159194,,0.343,0.75,,
9,N,N,Y,N,N,N,N,N,M,Y,N,N,N,Y,N,N,Y,N,1,10,3,4.65,0.620854221,0.066,5,,0.10464144,,0.422,0.38,,
10,N,N,Y,N,N,N,N,N,M,Y,N,N,N,N,Y,N,N,Y,1,14,4,7.75,11.69033062,0,5,,10.98940478,,0,-10.69,,
11,N,N,N,Y,N,Y,M,Y,M,Y,N,N,Y,N,N,N,Y,N,2,20,10,4.2,0.289784378,0.474,6,,0.127870939,,0.356,0.71,,
12,N,N,Y,Y,N,Y,M,Y,H,Y,N,N,N,N,Y,N,N,Y,3,20,10,4.95,0.286628768,0.5,7,,0.013371232,,0.961,0.71,,
13,N,N,N,N,N,Y,M,Y,N,N,Y,N,N,N,N,N,N,N,1,19,10,4.15,0.380630751,0.145,8,,0.180630751,,0.29,0.62,,
14,N,N,Y,Y,Y,N,M,Y,H,Y,N,N,Y,Y,Y,N,Y,Y,3,16,10,4.8,0.499568758,0.093,6,,0.099568758,,0.474,0.5,,
15,N,N,Y,Y,Y,Y,H,Y,H,Y,N,N,N,N,Y,N,N,Y,4,18,10,4.3,0.349186525,0.237,6,,0.088313475,,0.593,0.65,,
16,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,4,18,10,5.05,0.541080316,0.079,6,,0.070970555,,0.724,0.46,,
17,N,N,Y,N,Y,Y,H,Y,M,Y,N,N,N,N,Y,Y,N,Y,4,18,9,4,0.302305865,0.435,7,,0.002305865,,0.987,0.7,,
18,N,N,Y,Y,N,Y,M,Y,H,Y,N,N,Y,N,Y,N,Y,Y,3,18,10,3.8,0.18854336,0.922,6,,0.21145664,,0.237,0.81,,
19,N,N,N,Y,N,Y,M,Y,M,Y,Y,N,N,N,N,N,N,N,2,17,10,3.95,0.281832078,0.527,8,,0.081832078,,0.645,0.72,,
20,N,N,Y,N,Y,N,M,Y,M,Y,N,N,Y,Y,N,N,Y,N,2,18,10,5.15,0.444203683,0.106,2,,0.355796317,,0.066,0.56,,
21,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,4,20,10,4.8,0.234821959,0.764,7,,0.065178041,,0.777,0.77,,
22,N,N,Y,N,N,N,N,N,M,Y,N,N,Y,Y,Y,N,Y,Y,1,20,9,4.722222222,0.244919469,0.685,4,,0.355080531,,0.079,0.76,,
23,N,N,Y,Y,Y,N,M,Y,H,Y,N,Y,N,N,N,N,N,N,3,18,10,4.55,0.226631647,0.79,3,,0.473368353,,0.027,0.77,,
24,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,4,18,10,4.15,0.325691394,0.329,6,,0.10106857,,0.461,0.67,,
25,N,N,Y,Y,Y,Y,H,Y,H,Y,N,N,Y,N,Y,Y,Y,Y,4,20,10,4.2,0.189708229,0.908,6,,0.210291771,,0.25,0.81,,
26,N,N,Y,N,N,Y,M,Y,M,Y,N,N,N,Y,N,N,Y,N,2,17,10,4,0.204031021,0.856,5,,0.295968979,,0.106,0.8,,
27,N,N,N,Y,N,N,N,N,M,Y,Y,N,N,N,N,N,N,N,1,12,9,4.1,0.19826511,0.882,7,,0.10173489,,0.448,0.8,,
28,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,4,19,10,3.85,0.27124148,0.579,8,,0.07124148,,0.711,0.73,,
29,N,N,N,Y,N,N,N,N,M,Y,Y,N,N,N,N,N,N,N,1,19,10,4.4,0.240431731,0.724,6,,0.163488882,,0.329,0.76,,
30,N,N,Y,Y,Y,N,M,Y,H,Y,N,N,N,N,N,N,N,N,3,19,10,4.75,0.349470314,0.211,6,,0.107963126,,0.408,0.65,,
31,N,N,N,Y,N,N,N,N,M,Y,N,N,N,N,Y,N,N,Y,1,16,10,4.3,0.238115275,0.75,8,,0.028102335,,0.935,0.76,,
32,N,N,Y,Y,Y,N,M,Y,H,Y,N,N,Y,Y,Y,N,Y,Y,4,13,9,5.75,0.624576199,0.053,6,,0.082243428,,0.619,0.38,,
33,N,N,Y,Y,N,Y,M,Y,H,Y,N,N,N,N,Y,N,N,Y,3,20,9,3.777777778,0.251812157,0.658,7,,0.048187843,,0.843,0.75,,
34,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,4,13,10,4.35,0.284192907,0.514,8,,0.084192907,,0.606,0.72,,
35,N,N,N,Y,N,N,N,N,M,Y,N,Y,N,N,N,N,N,N,1,11,10,4.75,0.638593565,0.04,4,,0.207854399,,0.264,0.36,,
36,N,N,Y,Y,N,Y,M,Y,H,Y,Y,N,N,N,N,N,N,N,3,18,10,4.25,0.269692961,0.593,5,,0.230307039,,0.198,0.73,,
37,N,N,Y,N,N,N,N,N,M,Y,N,N,N,N,Y,N,N,Y,1,17,10,4.75,0.305414364,0.408,6,,0.094585636,,0.553,0.69,,
38,N,N,N,Y,Y,Y,H,Y,M,Y,N,N,Y,N,N,N,Y,N,3,16,10,4.4,0.242582828,0.698,8,,0.042582828,,0.882,0.76,,
39,N,N,Y,Y,Y,N,M,Y,H,Y,Y,N,N,N,N,N,N,N,3,15,10,4.8,0.324119885,0.369,6,,0.075880115,,0.672,0.68,,
40,N,N,Y,N,Y,Y,H,Y,M,Y,Y,N,N,N,N,N,N,N,3,19,10,2.35,0.288603036,0.487,7,,0.011396964,,0.974,0.71,,
41,N,N,Y,Y,Y,Y,H,Y,H,Y,N,N,N,N,Y,Y,N,Y,5,18,6,4.3,0.241927533,0.711,7,,0.058072467,,0.803,0.76,,
42,N,N,Y,Y,Y,N,M,Y,H,Y,N,N,N,N,N,Y,N,Y,3,17,10,3.8,0.343153172,0.264,4,,0.256846828,,0.132,0.66,,
43,N,N,Y,Y,Y,Y,H,Y,H,Y,N,N,N,N,N,N,N,N,4,20,9,3.8,0.169586062,0.948,4,,0.430413938,,0.053,0.83,,
44,N,N,Y,Y,Y,N,M,Y,H,Y,N,N,N,N,Y,Y,N,Y,3,9,9,3.1875,0.295269506,0.461,4,3,0.304730494,0.15,0.093,0.7,,
45,N,N,N,N,N,Y,M,Y,N,N,N,N,N,N,Y,N,N,Y,2,14,10,3.15,0.324162381,0.356,0,2,0.675837619,0.5,0.014,0.68,,
46,N,N,N,Y,N,N,N,N,M,Y,Y,N,N,N,Y,N,N,Y,1,8,3,5.65,0.351051075,0.198,6,5,0.048948925,0.1,0.829,0.65,,
47,N,N,Y,Y,Y,Y,H,Y,H,Y,N,N,Y,N,Y,N,Y,Y,4,20,10,3.5,0.311414401,0.382,6,7,0.088585599,0.3,0.579,0.69,,
48,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,4,20,6,4.333333333,0.302416556,0.422,8,10,0.102416556,0,0.435,0.7,,
49,N,N,N,N,Y,Y,H,Y,N,N,Y,N,N,N,N,N,N,N,2,20,6,4.4,0.179158299,0.935,8,10,0.020841701,0,0.948,0.82,,
50,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,0,19,6,6.7,0.349262675,0.224,6,7,0.050737325,0.25,0.816,0.65,,
51,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,0,19,5,4.85,0.398594093,0.119,7,6,0.098594093,0.35,0.487,0.6,,
52,N,N,Y,Y,Y,Y,H,Y,H,Y,N,N,Y,Y,Y,Y,Y,Y,4,19,8,4.65,0.354901674,0.185,6,9,0.045098326,0.05,0.869,0.65,,
53,N,N,Y,Y,Y,Y,H,Y,H,Y,N,N,N,N,N,N,N,N,4,18,6,5,0.343852334,0.25,2,7,0.456147666,0.2,0.04,0.66,,
54,N,N,Y,N,Y,N,M,Y,M,Y,N,N,N,Y,N,Y,Y,Y,2,13,9,3.65,0.884515617,0.014,4,5,0.284515617,0.15,0.119,0.12,,
55,N,N,Y,N,Y,Y,H,Y,M,Y,Y,N,N,N,N,N,N,N,3,20,7,4.05,0.277834232,0.54,6,9,0.122165768,0.1,0.395,0.72,,
56,N,N,N,Y,Y,N,M,Y,M,Y,Y,N,N,N,N,N,N,N,3,20,6,5,0.222370296,0.803,7,7,0.077629704,0.3,0.658,0.78,,
57,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,5,18,7,4.75,0.203697092,0.869,7,7,0.096302908,0.2,0.527,0.8,,
58,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,1,15,8,6.25,0.33596348,0.29,7,10,0.03596348,0.25,0.922,0.66,,
59,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,4,11,3,5.95,0.261970977,0.632,7,5,0.038029023,0.05,0.908,0.74,,
60,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,5,19,6,3.55,0.167660918,0.974,9,10,0.067660918,0.05,0.75,0.83,,
61,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,5,16,8,4.166666667,0.216574618,0.829,6,8,0.183425382,0,0.277,0.78,,
62,N,N,Y,Y,Y,N,M,Y,H,Y,Y,N,N,N,N,N,N,N,3,18,7,4.6,0.262360016,0.619,5,6,0.237639984,0.3,0.172,0.74,,
63,N,N,N,Y,Y,Y,H,Y,M,Y,N,N,N,N,Y,N,N,Y,3,19,7,3.7,0.217813509,0.816,7,7,0.082186491,0.25,0.632,0.78,,
64,N,N,N,N,N,Y,M,Y,N,N,N,N,N,N,N,Y,N,Y,1,14,8,6.05,0.254761573,0.645,5,8,0.245238427,0.1,0.158,0.75,,
65,N,N,N,Y,N,N,N,N,M,Y,Y,N,N,N,N,N,N,N,1,19,8,3.6,0.204391471,0.843,7,9,0.095608529,0.05,0.54,0.8,,
66,N,N,Y,Y,N,Y,M,Y,H,Y,Y,Y,N,N,N,N,N,N,3,20,6,5.05,0.276325095,0.553,6,8,0.123674905,0.2,0.382,0.72,,
67,N,N,Y,Y,N,N,N,N,H,Y,N,Y,N,N,N,N,N,N,2,20,7,3.7,0.144062517,1,6,5,0.255937483,0.5,0.145,0.86,,
68,N,N,Y,Y,N,Y,M,Y,H,Y,N,N,Y,N,N,N,Y,N,3,19,6,4.3,0.265855674,0.606,5,9,0.234144326,0.05,0.185,0.73,,
69,N,N,N,Y,Y,Y,H,Y,M,Y,Y,N,N,N,N,N,N,N,3,18,6,4.6,0.233847844,0.777,6,10,0.166152156,0.1,0.303,0.77,,
70,N,Y,N,N,N,Y,M,Y,N,N,N,N,N,Y,N,N,Y,N,1,20,9,4.15,0.371737214,0.172,4,5,0.228262786,0.5,0.211,0.63,,
71,N,N,Y,Y,Y,N,M,Y,H,Y,Y,N,N,N,N,N,N,N,4,20,8,3.15,0.146996494,0.987,9,9,0.046996494,0.1,0.856,0.85,,
72,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,5,18,6,4,0.33328114,0.316,6,7,0.06671886,0.2,0.764,0.67,,
73,N,N,Y,N,Y,Y,H,Y,M,Y,Y,N,N,N,N,N,N,N,3,19,7,4.2,0.305540223,0.395,6,9,0.094459777,0.05,0.566,0.69,,
74,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,0,17,6,4.35,0.334000974,0.303,5,4,0.165999026,0.45,0.316,0.67,,
75,N,N,Y,N,N,N,N,N,M,Y,N,N,N,N,N,Y,N,Y,1,18,8,4.3,0.301787498,0.448,7,9,0.001787498,0,1,0.7,,
76,N,N,Y,Y,N,Y,M,Y,H,Y,N,N,N,N,N,Y,N,Y,3,14,8,4.45,0.274525055,0.566,8,10,0.074525055,0.3,0.685,0.73,,
77,N,N,Y,N,N,N,N,N,M,Y,Y,N,N,N,N,N,N,N,1,20,8,3.4,0.23947521,0.737,8,6,0.03947521,0.4,0.895,0.76,,
